Date,RELIANCE.NS,HDFCBANK.NS,INFY.NS,HDFC.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,AXISBANK.NS,LT.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,ASIANPAINT.NS,HCLTECH.NS,MARUTI.NS,ULTRACEMCO.NS,M&M.NS,SUNPHARMA.NS,TITAN.NS,NESTLEIND.NS,TECHM.NS,BAJAJFINSV.NS,POWERGRID.NS,DRREDDY.NS,INDUSINDBK.NS,NTPC.NS,BAJAJ-AUTO.NS,ONGC.NS
2021-01-18,1983.949951171875,1483.0999755859375,1312.050048828125,2566.5,533.1500244140625,3221.75,1846.949951171875,2332.60009765625,219.75,657.0,1336.050048828125,294.45001220703125,4719.85009765625,586.9500122070312,2588.199951171875,981.5,7830.64990234375,5386.0,809.0,581.4500122070312,1503.550048828125,17630.69921875,998.25,8354.599609375,195.75,5052.10009765625,932.7999877929688,97.55000305175781,3563.75,96.6500015258789
2021-01-19,2016.4000244140625,1503.8499755859375,1316.6500244140625,2656.949951171875,546.4500122070312,3260.699951171875,1887.0,2363.14990234375,218.85000610351562,668.75,1369.8499755859375,298.6000061035156,4959.14990234375,592.2999877929688,2645.050048828125,983.8499755859375,7922.60009765625,5490.10009765625,808.0499877929688,596.5499877929688,1519.9000244140625,17754.69921875,992.5,8924.150390625,199.64999389648438,5088.89990234375,939.9000244140625,99.6500015258789,3641.0,98.0999984741211
2021-01-20,2054.699951171875,1492.0,1339.449951171875,2688.14990234375,551.0,3308.800048828125,1883.5999755859375,2355.949951171875,217.64999389648438,675.75,1382.6500244140625,302.54998779296875,4981.9501953125,596.1500244140625,2697.25,999.25,8144.9501953125,5547.10009765625,824.5,594.7000122070312,1531.300048828125,17681.30078125,1019.4500122070312,8938.25,196.14999389648438,5080.64990234375,947.7000122070312,98.30000305175781,3643.949951171875,98.8499984741211
2021-01-21,2099.39990234375,1474.800048828125,1339.699951171875,2663.0,552.7000122070312,3273.85009765625,1857.800048828125,2367.64990234375,213.6999969482422,675.8499755859375,1371.300048828125,294.8500061035156,5118.2998046875,581.3499755859375,2716.35009765625,993.2999877929688,8076.75,5543.4501953125,808.25,582.9000244140625,1517.300048828125,17716.30078125,1004.7000122070312,9052.7998046875,195.14999389648438,5052.2001953125,925.8499755859375,96.0999984741211,3703.300048828125,94.69999694824219
2021-01-22,2049.60009765625,1443.550048828125,1340.8499755859375,2589.449951171875,533.7999877929688,3303.10009765625,1828.0,2409.35009765625,210.6999969482422,644.5,1362.0999755859375,283.70001220703125,4972.5498046875,576.8499755859375,2596.64990234375,985.7999877929688,8048.85009765625,5534.7998046875,798.4000244140625,575.2000122070312,1491.199951171875,17589.599609375,980.8499755859375,9071.0,194.1999969482422,5036.89990234375,893.2999877929688,94.05000305175781,4089.5,92.75
2021-01-25,1941.0,1462.8499755859375,1325.0999755859375,2551.39990234375,538.0499877929688,3291.300048828125,1794.4000244140625,2399.60009765625,207.8000030517578,658.4000244140625,1361.300048828125,280.95001220703125,4908.7001953125,580.75,2513.949951171875,947.5,7981.5,5368.39990234375,794.5499877929688,586.4000244140625,1499.8499755859375,17415.25,972.0499877929688,9198.900390625,190.1999969482422,5082.39990234375,849.1500244140625,93.19999694824219,4168.9501953125,91.3499984741211
2021-01-27,1895.0,1409.5999755859375,1301.0,2467.0,522.3499755859375,3261.050048828125,1764.699951171875,2391.300048828125,210.64999389648438,632.0999755859375,1359.8499755859375,275.6499938964844,4845.0,570.7999877929688,2436.60009765625,955.5,7870.89990234375,5404.85009765625,769.9500122070312,569.7999877929688,1440.699951171875,17538.099609375,997.0999755859375,9126.099609375,192.35000610351562,4909.2998046875,820.1500244140625,91.30000305175781,4146.35009765625,89.69999694824219
2021-01-28,1876.550048828125,1371.449951171875,1276.199951171875,2425.75,528.25,3196.550048828125,1722.8499755859375,2300.39990234375,206.60000610351562,670.7000122070312,1345.3499755859375,282.3500061035156,4810.25,570.9000244140625,2441.699951171875,933.9500122070312,7588.5,5443.7001953125,765.0,564.3499755859375,1450.0999755859375,17387.650390625,981.5999755859375,8955.2998046875,187.3000030517578,4871.7998046875,802.5999755859375,91.5999984741211,4135.7998046875,90.6500015258789
2021-01-29,1841.949951171875,1390.5,1239.050048828125,2377.800048828125,537.0,3111.35009765625,1712.949951171875,2263.89990234375,203.25,662.9000244140625,1334.699951171875,282.1000061035156,4734.5498046875,553.5999755859375,2407.35009765625,914.0,7206.64990234375,5327.25,749.5999755859375,586.2000122070312,1420.300048828125,17060.0,961.4000244140625,8722.75,184.4499969482422,4602.7001953125,846.0999755859375,88.94999694824219,4005.800048828125,88.30000305175781
2021-02-01,1895.300048828125,1476.75,1260.9000244140625,2579.25,603.7999877929688,3139.35009765625,1801.5,2248.60009765625,215.9499969482422,709.3499755859375,1448.8499755859375,310.70001220703125,5058.60009765625,579.1500244140625,2447.800048828125,928.3499755859375,7399.7998046875,5744.14990234375,795.1500244140625,590.1500244140625,1501.550048828125,17087.69921875,941.75,9721.7998046875,188.89999389648438,4428.14990234375,970.5999755859375,92.0,4114.7001953125,90.8499984741211
2021-02-02,1925.800048828125,1560.550048828125,1271.25,2659.0,617.3499755859375,3203.449951171875,1861.300048828125,2230.449951171875,218.1999969482422,714.2000122070312,1520.199951171875,333.1000061035156,5173.2001953125,599.3499755859375,2463.64990234375,954.6500244140625,7654.7001953125,6123.5498046875,816.8499755859375,609.4500122070312,1485.449951171875,17190.30078125,957.2000122070312,9476.2998046875,194.1999969482422,4482.5,975.6500244140625,94.1500015258789,4201.4501953125,92.8499984741211
2021-02-03,1930.6500244140625,1574.800048828125,1284.6500244140625,2703.550048828125,622.3499755859375,3200.050048828125,1852.199951171875,2232.85009765625,216.75,733.7999877929688,1528.550048828125,335.95001220703125,5245.10009765625,608.8499755859375,2453.64990234375,959.9000244140625,7589.2001953125,6074.7001953125,833.2000122070312,629.2000122070312,1525.1500244140625,17166.400390625,981.4500122070312,9536.0498046875,206.5,4649.5498046875,1048.550048828125,96.94999694824219,4236.35009765625,93.3499984741211
2021-02-04,1924.300048828125,1579.0999755859375,1279.3499755859375,2707.75,628.2999877929688,3188.449951171875,1910.4000244140625,2245.60009765625,229.9499969482422,743.9000244140625,1529.800048828125,355.1000061035156,5504.85009765625,600.5999755859375,2401.800048828125,957.6500244140625,7640.0,6182.7998046875,866.5,631.5,1513.5999755859375,17074.0,969.2000122070312,9700.5498046875,205.35000610351562,4667.9501953125,1032.1500244140625,99.05000305175781,4223.5,97.6500015258789
2021-02-05,1923.75,1597.5999755859375,1272.0999755859375,2721.5,614.1500244140625,3157.949951171875,1982.699951171875,2269.550048828125,234.35000610351562,719.5999755859375,1516.5,393.1000061035156,5538.5498046875,581.0999755859375,2376.75,946.1500244140625,7494.14990234375,6352.10009765625,865.5,634.75,1509.449951171875,17115.75,959.4000244140625,9722.2001953125,207.10000610351562,4800.89990234375,1025.0999755859375,99.5,4231.25,97.6500015258789
2021-02-08,1951.449951171875,1605.25,1303.550048828125,2733.35009765625,629.5999755859375,3214.10009765625,1957.1500244140625,2236.64990234375,233.10000610351562,736.1500244140625,1551.800048828125,397.04998779296875,5497.7001953125,597.2999877929688,2416.85009765625,957.75,7574.60009765625,6368.14990234375,928.4000244140625,634.6500244140625,1541.699951171875,17218.19921875,982.5499877929688,10021.0498046875,212.5500030517578,4859.7998046875,1035.0999755859375,100.30000305175781,4237.4501953125,99.6500015258789
2021-02-09,1956.1500244140625,1611.8499755859375,1305.550048828125,2747.050048828125,633.3499755859375,3176.89990234375,1949.1500244140625,2216.25,229.0,742.5,1566.449951171875,394.79998779296875,5400.2998046875,598.9500122070312,2506.85009765625,951.5999755859375,7627.0498046875,6420.39990234375,895.0,623.5999755859375,1559.9000244140625,17318.94921875,975.0999755859375,9941.650390625,210.75,4844.10009765625,1025.800048828125,99.94999694824219,4154.89990234375,101.0
2021-02-10,1974.300048828125,1581.75,1296.5,2767.10009765625,632.1500244140625,3213.300048828125,1952.050048828125,2235.5,227.5500030517578,734.7999877929688,1552.8499755859375,392.25,5475.89990234375,590.2000122070312,2510.60009765625,959.4500122070312,7621.7001953125,6392.14990234375,914.1500244140625,627.0999755859375,1563.1500244140625,17177.349609375,974.9000244140625,10227.9501953125,210.4499969482422,4824.0498046875,1022.7999877929688,99.8499984741211,4151.5498046875,100.0
